tensor(-1957.8757, device='cuda:0')
tensor(-2026.9001, device='cuda:0')
tensor(-1994.3368, device='cuda:0')
tensor(-2011.3386, device='cuda:0')
tensor(-2087.3003, device='cuda:0')
tensor(-1970.7202, device='cuda:0')
tensor(-2199.6960, device='cuda:0')
tensor(-2056.8030, device='cuda:0')
tensor(-2044.7032, device='cuda:0')
tensor(-2090.2837, device='cuda:0')
tensor(-1933.1000, device='cuda:0')
tensor(-1943.3616, device='cuda:0')
tensor(-2032.6906, device='cuda:0')
tensor(-2059.0752, device='cuda:0')
tensor(-1885.9771, device='cuda:0')
tensor(-1954.3740, device='cuda:0')
tensor(-2057.4712, device='cuda:0')
tensor(-2071.7295, device='cuda:0')
tensor(-2027.1897, device='cuda:0')
tensor(-1993.7180, device='cuda:0')
tensor(-1909.5691, device='cuda:0')
tensor(-1999.0104, device='cuda:0')
tensor(-2015.3442, device='cuda:0')
tensor(-1963.2101, device='cuda:0')
tensor(-2052.5864, device='cuda:0')
tensor(-2005.7498, device='cuda:0')
tensor(-2036.8716, device='cuda:0')
tensor(-2091.7637, device='cuda:0')
tensor(-1958.5835, device='cuda:0')
tensor(-1939.6843, device='cuda:0')
tensor(-1858.5150, device='cuda:0')
tensor(-1945.5724, device='cuda:0')
tensor(-1966.3040, device='cuda:0')
tensor(-2023.1118, device='cuda:0')
tensor(-1987.9297, device='cuda:0')
tensor(-1956.5560, device='cuda:0')
tensor(-2046.5867, device='cuda:0')
tensor(-1996.4331, device='cuda:0')
tensor(-2050.5088, device='cuda:0')
tensor(-2069.9976, device='cuda:0')
tensor(-1933.1497, device='cuda:0')
tensor(-1952.0601, device='cuda:0')
tensor(-1981.2589, device='cuda:0')
tensor(-1989.6168, device='cuda:0')
tensor(-2002.7219, device='cuda:0')
tensor(-1946.4148, device='cuda:0')
tensor(-1981.0239, device='cuda:0')
tensor(-1962.0295, device='cuda:0')
tensor(-2090.1812, device='cuda:0')
tensor(-1930.0598, device='cuda:0')
tensor(-2057.7471, device='cuda:0')
tensor(-1968.7489, device='cuda:0')
tensor(-2154.4617, device='cuda:0')
tensor(-2013.5173, device='cuda:0')
tensor(-1890.6091, device='cuda:0')
tensor(-2005.7821, device='cuda:0')
tensor(-2058.8628, device='cuda:0')
tensor(-1970.0264, device='cuda:0')
tensor(-2025.1084, device='cuda:0')
tensor(-1990.9224, device='cuda:0')
tensor(-2048.1006, device='cuda:0')
tensor(-1888.6414, device='cuda:0')
tensor(-1938.8296, device='cuda:0')
tensor(-2012.4465, device='cuda:0')
tensor(-2134.3691, device='cuda:0')
tensor(-1827.6501, device='cuda:0')
tensor(-2034.0403, device='cuda:0')
tensor(-2038.3197, device='cuda:0')
tensor(-1967.7510, device='cuda:0')
tensor(-2017.2842, device='cuda:0')
tensor(-1972.2877, device='cuda:0')
tensor(-2057.8748, device='cuda:0')
tensor(-1954.9564, device='cuda:0')
tensor(-2124.9307, device='cuda:0')
tensor(-2115.0679, device='cuda:0')
tensor(-2009.2046, device='cuda:0')
tensor(-2080.3081, device='cuda:0')
tensor(-2091.8562, device='cuda:0')
tensor(-1937.6968, device='cuda:0')
tensor(-2135.6016, device='cuda:0')
tensor(-2126.5635, device='cuda:0')
tensor(-2015.3059, device='cuda:0')
tensor(-1904.4711, device='cuda:0')
tensor(-1906.6099, device='cuda:0')
tensor(-2091.9202, device='cuda:0')
