,N021S00430,N021S00436,N021S00441,N021S00695,N0251S00501,N0401S00230,N0401S00280,N074S01111
N021S00430,0,22,0,17,0,0,0,17
N021S00436,0,0,0,0,0,0,0,0
N021S00441,14,13,0,16,0,0,0,14
N021S00695,0,0,0,0,0,0,0,0
N0251S00501,13,14,0,13,0,0,0,13
N0401S00230,11,7,0,16,0,0,0,18
N0401S00280,15,10,0,16,0,0,0,12
N074S01111,12,26,0,19,0,0,0,0
