,N021S00430,N021S00436,N021S00441,N021S00695,N0251S00501,N0401S00230,N0401S00280,N074S01111
N021S00430,0,3,0,1,0,0,0,2
N021S00436,0,0,0,0,0,0,0,0
N021S00441,3,1,0,4,0,0,0,2
N021S00695,0,0,0,0,0,0,0,0
N0251S00501,0,2,0,1,0,0,0,1
N0401S00230,0,1,0,4,0,0,0,3
N0401S00280,4,4,0,1,0,0,0,1
N074S01111,5,3,0,4,0,0,0,0
