,N021S00430,N021S00436,N021S00441,N021S00695,N0251S00501,N0401S00230,N0401S00280,N074S01111
N021S00430,0,9,0,8,0,0,0,15
N021S00436,0,0,0,0,0,0,0,0
N021S00441,8,6,0,6,0,0,0,3
N021S00695,0,0,0,0,0,0,0,0
N0251S00501,7,8,0,4,0,0,0,9
N0401S00230,12,5,0,9,0,0,0,12
N0401S00280,3,4,0,6,0,0,0,5
N074S01111,8,16,0,18,0,0,0,0
