,N021S00430,N021S00436,N021S00441,N021S00695,N0251S00501,N0401S00230,N0401S00280,N074S01111
N021S00430,56,0,0,0,0,0,0,0
N021S00436,0,0,0,0,0,0,0,0
N021S00441,0,0,57,0,0,0,0,0
N021S00695,0,0,0,0,0,0,0,0
N0251S00501,0,0,0,0,53,0,0,0
N0401S00230,0,0,0,0,0,52,0,0
N0401S00280,0,0,0,0,0,0,53,0
N074S01111,0,0,0,0,0,0,0,57
